panel,panel_title,metric,metric_label,method,method_label,source_variant,value,source_file,tier,task,seed,run_id,unit,config
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.24803342,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R010,toy_sampling__T1_double_well__fixed_noise__R010,fraction,configs/experiments/toy_sampling/T1_double_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.46807918,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R001,toy_sampling__T1_double_well__pnedb__R001,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.49947963,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R002,toy_sampling__T1_double_well__pnedb__R002,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.44967682,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R003,toy_sampling__T1_double_well__pnedb__R003,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.45415677,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R004,toy_sampling__T1_double_well__pnedb__R004,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.4828427,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R005,toy_sampling__T1_double_well__pnedb__R005,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.5019714,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R006,toy_sampling__T1_double_well__pnedb__R006,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.49125913,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R007,toy_sampling__T1_double_well__pnedb__R007,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.47120321,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R008,toy_sampling__T1_double_well__pnedb__R008,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.45238446,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R009,toy_sampling__T1_double_well__pnedb__R009,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.46154971,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R010,toy_sampling__T1_double_well__pnedb__R010,fraction,configs/experiments/toy_sampling/T1_double_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.10250255,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R001,toy_sampling__T2_four_well__deterministic__R001,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.088121252,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R002,toy_sampling__T2_four_well__deterministic__R002,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.11662966,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R003,toy_sampling__T2_four_well__deterministic__R003,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.06321366,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R004,toy_sampling__T2_four_well__deterministic__R004,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.059908561,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R005,toy_sampling__T2_four_well__deterministic__R005,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.076392764,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R006,toy_sampling__T2_four_well__deterministic__R006,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.11326289,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R007,toy_sampling__T2_four_well__deterministic__R007,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.088770938,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R008,toy_sampling__T2_four_well__deterministic__R008,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.12534695,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R009,toy_sampling__T2_four_well__deterministic__R009,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.10959829,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R010,toy_sampling__T2_four_well__deterministic__R010,fraction,configs/experiments/toy_sampling/T2_four_well/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.20820704,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R001,toy_sampling__T2_four_well__fixed_noise__R001,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.23336913,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R002,toy_sampling__T2_four_well__fixed_noise__R002,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.19333487,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R003,toy_sampling__T2_four_well__fixed_noise__R003,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.20428957,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R004,toy_sampling__T2_four_well__fixed_noise__R004,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.20547851,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R005,toy_sampling__T2_four_well__fixed_noise__R005,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.21510713,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R006,toy_sampling__T2_four_well__fixed_noise__R006,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.20986131,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R007,toy_sampling__T2_four_well__fixed_noise__R007,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.23946457,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R008,toy_sampling__T2_four_well__fixed_noise__R008,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.19820045,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R009,toy_sampling__T2_four_well__fixed_noise__R009,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.19728182,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R010,toy_sampling__T2_four_well__fixed_noise__R010,fraction,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.39908933,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R001,toy_sampling__T2_four_well__pnedb__R001,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.43053376,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R002,toy_sampling__T2_four_well__pnedb__R002,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.41785506,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R003,toy_sampling__T2_four_well__pnedb__R003,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.42613938,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R004,toy_sampling__T2_four_well__pnedb__R004,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.43679991,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R005,toy_sampling__T2_four_well__pnedb__R005,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.42558477,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R006,toy_sampling__T2_four_well__pnedb__R006,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.44849737,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R007,toy_sampling__T2_four_well__pnedb__R007,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.40917506,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R008,toy_sampling__T2_four_well__pnedb__R008,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.43101621,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R009,toy_sampling__T2_four_well__pnedb__R009,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.42938626,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T2_four_well,R010,toy_sampling__T2_four_well__pnedb__R010,fraction,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.12952593,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R001,toy_sampling__T3_ring__deterministic__R001,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.123039,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R002,toy_sampling__T3_ring__deterministic__R002,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.13371246,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R003,toy_sampling__T3_ring__deterministic__R003,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.16378945,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R004,toy_sampling__T3_ring__deterministic__R004,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.1458099,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R005,toy_sampling__T3_ring__deterministic__R005,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.15153384,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R006,toy_sampling__T3_ring__deterministic__R006,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.15072792,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R007,toy_sampling__T3_ring__deterministic__R007,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.14479846,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R008,toy_sampling__T3_ring__deterministic__R008,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.15382211,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R009,toy_sampling__T3_ring__deterministic__R009,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,deterministic,Deterministic,deterministic,0.12675346,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R010,toy_sampling__T3_ring__deterministic__R010,fraction,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.27996781,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R001,toy_sampling__T3_ring__fixed_noise__R001,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.26921806,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R002,toy_sampling__T3_ring__fixed_noise__R002,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.25350293,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R003,toy_sampling__T3_ring__fixed_noise__R003,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.28594159,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R004,toy_sampling__T3_ring__fixed_noise__R004,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.2737972,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R005,toy_sampling__T3_ring__fixed_noise__R005,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.2288732,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R006,toy_sampling__T3_ring__fixed_noise__R006,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.27034443,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R007,toy_sampling__T3_ring__fixed_noise__R007,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.26548418,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R008,toy_sampling__T3_ring__fixed_noise__R008,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.24026216,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R009,toy_sampling__T3_ring__fixed_noise__R009,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,fixed_noise,Fixed noise,fixed_noise,0.26093591,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R010,toy_sampling__T3_ring__fixed_noise__R010,fraction,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.49226613,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R001,toy_sampling__T3_ring__pnedb__R001,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.49620799,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R002,toy_sampling__T3_ring__pnedb__R002,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.50123907,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R003,toy_sampling__T3_ring__pnedb__R003,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.49596516,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R004,toy_sampling__T3_ring__pnedb__R004,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.5295361,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R005,toy_sampling__T3_ring__pnedb__R005,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.50734441,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R006,toy_sampling__T3_ring__pnedb__R006,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.48906662,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R007,toy_sampling__T3_ring__pnedb__R007,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
