tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt,metric_scope
pf_companion_diagnostic,T1_double_well,girsanov_smc,R003,pf_companion_diagnostic__T1_double_well__girsanov_smc__R003,logq_var_std,0.020490942,log_density_std,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R003,pf_companion_diagnostic__T1_double_well__girsanov_smc__R003,nll_error,0,nats,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R004,pf_companion_diagnostic__T1_double_well__girsanov_smc__R004,Deltaf_error,0,reduced_free_energy,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R004,pf_companion_diagnostic__T1_double_well__girsanov_smc__R004,ESS_error,0,fraction,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R004,pf_companion_diagnostic__T1_double_well__girsanov_smc__R004,hutchinson_M,0,not_applicable,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R004,pf_companion_diagnostic__T1_double_well__girsanov_smc__R004,kl_pf_vs_girsanov,0,dimensionless,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R004,pf_companion_diagnostic__T1_double_well__girsanov_smc__R004,logq_var,0.04121712,log_density_variance,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R004,pf_companion_diagnostic__T1_double_well__girsanov_smc__R004,logq_var_std,0.017888015,log_density_std,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R004,pf_companion_diagnostic__T1_double_well__girsanov_smc__R004,nll_error,0,nats,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R005,pf_companion_diagnostic__T1_double_well__girsanov_smc__R005,Deltaf_error,0,reduced_free_energy,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R005,pf_companion_diagnostic__T1_double_well__girsanov_smc__R005,ESS_error,0,fraction,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R005,pf_companion_diagnostic__T1_double_well__girsanov_smc__R005,hutchinson_M,0,not_applicable,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R005,pf_companion_diagnostic__T1_double_well__girsanov_smc__R005,kl_pf_vs_girsanov,0,dimensionless,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
