tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.01157,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_002,0.012,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.153874,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_003,0.018,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.147704,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_003,0.018,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.067692,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_003,0.018,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.018284,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_003,0.018,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,9.011021,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_003,0.018,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.018,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_003,0.018,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.011351,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_003,0.018,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.160251,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_004,0.024,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.151913,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_004,0.024,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.066183,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_004,0.024,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.015011,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_004,0.024,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,8.510931,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_004,0.024,,D10,FALSE,FALSE
